,Song,Artist,Lyrics
497,The Hills,The Weeknd,"Yeah
Yeah
Yeah
Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
'Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it, but your friends know
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe
I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe
Hills have eyes, the hills have eyes
Who are you to judge? Who are you to judge?
Hide your lies, girl, hide your lies (Hide your lies, oh, baby)
Only you to trust, only you
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe
Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir
Ewedihalehu
Yene konjo, ewedihalehu..."
498,The London,Young Thug,"Yeah, yeah, yeah
Oh, oh, woah
Woah, woah
Oh
(You good, T-Minus?)
Oh
Me-meet me at The London
If you find time, we can run one
Talk about some things we can't undo
You just send the pin, I can find you
6'1"", on the money, 9'2""
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah, I knew
Yeah, circumnavigate the globe as the cash grows (Grow)
Get a nigga whacked like you get the grass mowed (Mowed)
I'm talkin' slick when I'm with the Big Slime, nigga (Slime)
Could hit your bitch, you could never hit mine, nigga (Mine)
In my DM, they electric slide, nigga (Huh, slide)
No catfishin', this is not a fish fry, nigga
Never switch sides on my dog
Catch a contact, hitch a ride, go to Mars
Everybody sing
How could you come up out your face
And say I ain't the hardest nigga you done ever heard?
I left a flock of rappers dead and buried
A verse from me is like eleven birds
Just did the math, that's like two thousand dollars every word
I'm on the verge, I'll beat the charge
I killed some niggas and I walked away from it
Then I observe, just how you curve
Then told the nigga that they gotta wait for it
""I know—I know you in high demand""
I'm ballin' on a pussy nigga like Juwanna Mann
I'm drownin' all inside the pussy like I never swam
Ayy, fuck your IG, I put somethin' on your sonogram
I'm the man, ayy, ayy
Me-meet me at The London
If you find time, we can run one
Talk about some things we can't undo
You just send the pin, I can find you
6'1"", on the money, 9'2""
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah, I knew
Pimp talk, church talk, I can make a brick walk (Woo)
Up north, down south, Bankhead to Rachel Walk (Ayy)
Hit it with a little water, stretch it like a vocal cord
STD, I run my ward, fuck a fed and his daughter (Let's go)
I'ma run the compound (Yeah)
I supply the cigarettes and bread (Woo)
I got a main and she gon' ride (Uh-huh)
She took a quarter and she fled (Uh)
I'm in the Lamb', so she gon' ride (Yeah)
I see the pain in shawty's light brown eyes (Ooh)
I'm at The London with some big thots
No fries, she eat steaks with the fish sides
Didn't your mama tell you when something on fire, stop, drop and roll? (Aw yeah)
I've been on the road like a pair of spinners at Stop-N-Go's (Yeah)
I could charge 'em like a Dodge Hemi Demon
Got your broad in the garage eatin' semen
Every time a nigga go back to the ward
Niggas act like they want start
And we leave them on the cement (Grra, grra)
Me-meet me at The London
If you find time, we can run one
Talk about some things we can't undo
You just send the pin, I can find you
6'1"", on the money, 9'2""
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah, I knew
I, crash down, we get money (Hey)
For the full town (Woah, when you won't play, I)
I decided, for the full side (Hoes will say)
And they know, I might (And fly, I...)
Get down, might (Don't play)
See the whole town every time, I... (Oh, every day)
Yeah, they know what's up (Folks will say)"
499,The Mercy Seat,Nick Cave and the Bad Seeds,"It began when they come took me from my home
And put me in Death Row
Of which I am nearly wholly innocent, you know
And I'll say it again
I am not afraid to die
I began to warm and chill
To objects and their fields
A ragged cup, a twisted mop
The face of Jesus in my soup
Those sinister dinner deals
The meal trolley's wicked wheels
A hooked bone rising from my food
All things either good or ungood
And the mercy seat is awaiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
Of An eye for an eye
A tooth for a tooth
And anyway I told the truth
And I'm not afraid to die
Interpret signs and catalogue
A blackened tooth, a scarlet fog
The walls are bad
Black, bottom kind
They are the sick breath at my hind
They are the sick breath at my hind
They are the sick breath at my hind
They are the sick breath gathering at my hind
I hear stories from the chamber
How Christ was born into a manger
And like some ragged stranger
Died upon the cross
And might I say
It seems so fitting in its way
He was a carpenter by trade
Or at least that's what I'm told
Like my good hand I
Tatooed E.V.I.L. across it's brother's fist
That filthy five! They did nothing to challenge or resist
In Heaven His throne is made of gold
The ark of His Testament is stowed
A throne from which I'm told
All history does unfold
Down here it's made of wood and wire
And my body is on fire
And God is never far away
Into the mercy seat I climb
My head is shaved, my head is wired
And like the moth that tries
To enter the bright eye
So I go shuffling out of life
Just to hide in death awhile
And anyway I never lied
My kill-hand is called E.V.I.L
Wears a wedding band that's G.O.O.D
'Tis a long-suffering shackle
Collaring all that rebel blood
And the mercy seat is burning
And I think my head is glowing
And in a way I'm hoping
To be done with all this weighing up of truth
An eye for an eye
And a tooth for a tooth
And I've got nothing left to lose
But I'm not afraid to die
The mercy seat is glowing
And I think my head is a-melting
And in a way I'm helping
To be done with all this twisting of the truth
An eye for an eye
And a tooth for a tooth
And anyway, I saw no proof
And not a motive why
And the mercy seat is a-melting
And I think my blood is boiling
And in a way I'm spoiling
All the fun by all of this consequence and truth
An eye for an eye
And a tooth for a tooth
And I've got nothing left to lose
And I'm not afraid to die
And the mercy seat is awaiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
An eye for an eye
And a tooth for a tooth
And anyway there was no proof
And nor a motive why
And the mercy seat is awaiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
An eye for an eye
And a tooth for a tooth
And anyway I told the truth
And I'm not afraid to die
And the mercy seat is waiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
A life for a life
And a truth for a truth
And anyway there was no proof
And I'm not afraid to die
And the mercy seat is waiting
And I think my head is smoking
And in a way I'm hoping
To be done with all these looks of disbelief
An eye for an eye
And a tooth for a tooth
And anyway I told the truth
And I'm not afraid to die
And the mercy seat is awaiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
Of an eye for an eye
And a tooth for a tooth
And anyway I told the truth
And I'm not afraid to die
And the mercy seat is awaiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
An eye for an eye
And a tooth for a tooth
And anyway I told the truth
And I'm not afraid to die
And the mercy seat is awaiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
Of an eye for an eye
And a tooth for a tooth
And anyway I told the truth
And I'm not afraid to die
And the mercy seat is awaiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
Of an eye for an eye
And a tooth for a tooth
And anyway I told the truth
And I'm not afraid to die
And the mercy seat is waiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
Of an eye for an eye
And a tooth for a tooth
And anyway I told the truth
But I'm not afraid to lie
And the mercy seat is-a waiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
Of an eye for an eye
And a tooth for a tooth
And anyway I told the truth
But I'm not afraid to lie
And the mercy seat is awaiting
And I think my head is burning
And in a way I'm yearning
To be done with all this measuring of proof
Of an eye for an eye
And a tooth for a tooth
And anyway I told the truth
And I'm afraid I told a lie"
500,The Monster,Eminem,"I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're tryin' to save me, stop holdin' your breath
And you think I'm crazy, yeah, you think I'm crazy
I wanted the fame but not the cover of 
Newsweek
Oh well, guess beggars can't be choosey
Wanted to receive attention for my music
Wanted to be left alone in public, excuse me
For wantin' my cake, and eat it too, and wantin' it both ways
Fame made me a balloon 'cause my ego inflated
When I blew, see,
 
but it was confusing
'Cause all I wanted to do's be the Bruce Lee of loose leaf
Abused ink, used it as a tool when I blew steam
Whoo! Hit the lottery, ooh-wee!
But with what I gave up to get it was bittersweet
It was like winnin' a used mink
Ironic 'cause I think I'm gettin' so huge I need a shrink
I'm beginnin' to lose sleep: one sheep, two sheep
Goin' coo-coo and kooky as Kool Keith
But I'm actually weirder than you think, 'cause I'm—
I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're tryin' to save me, stop holdin' your breath
And you think I'm crazy, yeah, you think I'm crazy
Well, that's nothin'
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
Well, that's nothin'
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
Now, I ain't much of a poet
But I know somebody once told me to seize the moment
And don't squander it
 
'cause you never know when it all
Could be over tomorrow, so I keep conjurin'
Sometimes I wonder where these thoughts spawn from
Yeah, ponderin'll do you wonders
No wonder you're losin' your mind, the way it wanders
Yodel-odel-ay-hee-hoo!
 
I think it went wanderin' off down yonder
And stumbled onto Jeff VanVonderen
'Cause I need an interventionist
To intervene between me and this monster
And save me from myself and all this conflict
'Cause the very thing that I love's killin' me and I can't conquer it
My OCD's conkin' me in the head,
 
keep knockin'
Nobody's home, I'm sleepwalkin'
I'm just relayin' what the voice in my head's sayin'
Don't shoot the messenger, I'm just friends with the—
I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're tryin' to save me, stop holdin' your breath
And you think I'm crazy, yeah, you think I'm crazy
Well, that's nothin'
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
Well, that's nothin'
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
Call me crazy, but I have this vision, one day that
I'll walk amongst you a regular civilian
But until then, drums get killed and
I'm comin' straight at MCs, blood gets spilled and
I'll take you back to the days that I'd get on a Dre track
Give every kid who got played that
 
pumped-up feelin'
And shit to say back to the kids who played him
I ain't here to save the fuckin' children
But if one kid out of a hundred million
Who are goin' through a struggle, feels it and relates, that's great
It's payback, Russell Wilson fallin' way back
In the draft, turn nothin' into somethin', still can make that
Straw into gold, chump, I will spin—Rumpelstiltskin in a haystack
Maybe I need a straightjacket
Face facts: I am nuts for real, but I'm okay with that
It's nothin', I'm still friends with the
I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're tryin' to save me, stop holdin' your breath
And you think I'm crazy, yeah, you think I'm crazy
I'm friends with the monster that's under my bed
(
Get along with
) Get along with the voices inside of my head
(
You're tryin' to
) You're tryin' to save me, stop holdin' your breath
(
And you think
) And you think I'm 
crazy, yeah, you think I'm crazy
Well, that's nothin'
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
Well, that's nothin'
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)
(
Yoo-ooh, ooh-ooh
)"
501,The Nights,Avicii,"(Hey) Once upon a younger year
When all our shadows disappeared
The animals inside came out to play
(Hey) Hey, went face to face with all our fears
Learned our lessons through the tears
Made memories we knew would never fade
One day my father he told me
""Son, don't let it slip away""
He took me in his arms, I heard him say (Hey)
""When you get older
Your wild heart will live for younger days
Think of me if ever you're afraid""
He said, ""One day you'll leave this world behind
So live a life you will remember""
My father told me when I was just a child
""These are the nights that never die""
My father told me
(Hey, hey)
(Hey, hey)
(Hey, hey)
(Hey, hey)
(Hey, hey)
(Hey, hey)
(Hey, hey)
When thunderclouds start pouring down
Light a fire they can't put out
Carve your name into those shining stars
He said, ""Go venture far beyond the shores
Don't forsake this life of yours
I'll guide you home no matter where you are""
One day my father he told me
""Son, don't let it slip away""
When I was just a kid, I heard him say
""When you get older
Your wild heart will live for younger days
Think of me if ever you're afraid""
He said, ""One day you'll leave this world behind
So live a life you will remember""
My father told me when I was just a child
""These are the nights that never die""
My father told me
(Hey, hey)
(Hey, hey)
(Hey, hey)
""These are the nights that never die""
My father told me
(Hey, hey)
(Hey, hey)
Ooh-woah, oh-oh-oh-oh-oh-oh
(Hey, hey)
Oh-oh (Hey)
(Hey, hey)
(Hey, hey)
Ooh-woah, oh-oh-oh-oh-oh-oh
(Hey, hey)
Oh-oh
My father told me"
502,The One,The Chainsmokers,"You know, I'm sorry
I won't make it to your party
Got caught up in my own selfishness
It won't let me be a part of this
And I know I've started
Drifting off every second
I can't wait to leave as soon as I
Arrive, I count the seconds
Down and down we go
We'll torch this place we know
Before one of us takes a chance
And breaks this,
 
I won't be the one
No, I won't be the one
I know it's pathetic
Fuck it, yeah, I said it
Tried to tell it like it is
There's a chance that I'll regret it, so
Let's go, let's end this
I delete before I send it
And we can play pretend
Like we haven't reached the end yet
Down and down we go
And we'll torch this place we know
Before one of us takes a chance
And breaks this,
 I won't be the one
No, I won't be the one
(You know, I'm sorry)
(I'm sorry)
No, I won't be the one
No, I won't be the one"
503,The One That Got Away,Katy Perry,"Summer after high school, when we first met
We'd make out in your Mustang to Radiohead
And on my eighteenth birthday, we got matching tattoos
Used to steal your parents' liquor and climb to the roof
Talked about our future like we had a clue
Never planned that one day I'd be losing you
In another life
I would be your girl
We'd keep all our promises
Be us against the world
In another life
I would make you stay
So I don't have to say you were
The one that got away
The one that got away
I was June, and you were my Johnny Cash
Never one without the other, we made a pact
Sometimes when I miss you, I put those records on, woah
Someone said you had your tattoo removed
Saw you downtown, singing the blues
It's time to face the music, I'm no longer your muse
But in another life
I would be your girl
We'd keep all our promises
Be us against the world
In another life
I would make you stay
So I don't have to say you were
The one that got away
The one that got away
The one
The one
The one
The one that got away
All this money can't buy me a time machine, no
Can't replace you with a million rings, no
I should've told you what you meant to me, woah
'Cause now I pay the price
In another life
I would be your girl
We'd keep all our promises
Be us against the world
In another life
I would make you stay
So I don't have to say you were
The one that got away
The one that got away (The one that got away)
The one (The one)
The one (The one)
The one (The one)
In another life
I would make you stay
So I don't have to say you were
The one that got away
The one that got away"
504,The Real Slim Shady,Eminem,"May I have your attention, please?
May I have your attention, please?
Will the real Slim Shady please stand up?
I repeat
Will the real Slim Shady please stand up?
We're gonna have a problem here
Y'all act like you never seen a white person before
Jaws all on the floor like Pam, like Tommy just burst in the door
And started whoopin' her ass worse than before
They first were divorced, throwin' her over furniture (Agh!)
It's the return of the
 
""Oh, wait, no way, you're kidding
He didn't just say what I think he did, did he?""
And Dr. Dre said
Nothing, you idiots, Dr. Dre's dead, he's locked in my basement (Ha-ha!)
Feminist women love Eminem
""Chicka-chicka-chicka, Slim Shady,
 
I'm sick of him
Look at him, walkin' around, grabbin' his you-know-what
Flippin' the you-know-who,"" ""Yeah, but he's so cute though""
Yeah, I probably got a couple of screws up in my head loose
But no worse than what's goin' on in your parents' bedrooms
Sometimes I wanna get on TV and just let loose
But can't, but it's cool for Tom Green to hump a dead moose
""My bum is on your lips, my bum is on your lips""
And if I'm lucky, you might just give it a little kiss
And that's the message that we deliver to little kids
And expect them not to know what a woman's clitoris is
Of course, they're gonna know what intercourse is
By the time they hit fourth grade
 
they've got the 
Discovery Channel
, don't they?
We ain't nothin' but mammals—
Well, some of us cannibals who cut other people open like cantaloupes
But if we can hump dead animals and antelopes
Then there's no reason that a man and another man can't elope
But if you feel like I feel, I got the antidote
Women, wave your pantyhose, sing the chorus, and it goes
I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
Will Smith don't gotta cuss in his raps to sell records (Nope)
Well, I do, so fuck him, and fuck you too
You think I give a damn about a GRAMMY?
Half of you critics can't even stomach me, let alone stand me
""But Slim, what if you win? Wouldn't it be weird?""
Why? So you guys could just lie to get me here?
So you can sit me here next to Britney Spears?
Yo, shit, Christina Aguilera better switch me chairs
So I can sit next to Carson Daly and Fred Durst
And hear 'em argue over who she gave head to first
Little bitch put me on blast on 
MTV
""Yeah, he's cute, but I think he's married to Kim, hee-hee""
I should download her audio on MP3
And show the whole world how you gave Eminem VD (Agh!)
I'm sick of you little girl and boy groups, all you do is annoy me
So I have been sent here to destroy you
And there's a million of us just like me
Who cuss like me, who just don't give a fuck like me
Who dress like me, walk, talk and act like me
And just might be the next best thing, but not quite me
'Cause I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
I'm like a head trip to listen to 'cause I'm only givin' you
Things you joke about with your friends inside your livin' room
The only difference is I got the balls to say it in front of y'all
And I don't gotta be false or sugarcoat it at all
I just get on the mic and spit it
And whether you like to admit it (Err), I just shit it
Better than ninety percent of you rappers out can
Then you wonder: ""How can kids eat up these albums like Valiums?""
It's funny, 'cause at the rate I'm goin', when I'm thirty
I'll be the only person in the nursin' home flirting
Pinchin' nurse's asses when I'm jacking off with Jergens
And I'm jerking, but this whole bag of Viagra isn't working
And every single person is a Slim Shady lurkin'
He could be working at Burger King, spittin' on your onion rings (Ch, puh)
Or in the parkin' lot, circling, screaming, ""I don't give a fuck!""
With his windows down and his system up
So will the real Shady please stand up
And put one of those fingers on each hand up?
And be proud to be outta your mind and outta control
And one more time, loud as you can, how does it go?
I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
Ha-ha
I guess there's a Slim Shady in all of us
Fuck it, let's all stand up"
505,The Ringer,Eminem,"*Plane crash*
Yeah (
Illa, Illa, Illa
)
Yo, I'm just gonna write down my first thoughts, and see where this takes me, ’cause I feel like I wanna punch the world in the fuckin' face right now
Yeah
Let me explain just how to make greatness
Straight out the gate, I'm ’bout to break it down
Ain't no mistakes allowed,
 
but make no mistake, I'm 'bout
To rape the alphabet, I may raise some brows
If I press the issue just to get the anger out (Brrr!)
Full magazine could take Staples out
Savage but ain't thinkin' 'bout no bank account
But bitch, I'm off the chain like Kala Brown
Motherfucker, shut the fuck up when I’m talkin’, lil' bitch
I’m sorry, wait, what's your talent? Oh, critiquin'
My talent? Oh, bitch, I don't know who the fuck y’all are
To give a sub-par bar or even have an opinion of you
You mention me, millions of views, attention in news
I mention you, lose-lose for me, win-win for you
Billions of views, your ten cents are two
Skim through the music to give shit reviews
To get clicks, but bitch, you just lit the fuse
Don't get misconstrued, business as us'
Shit-list renewed, so get shit to do
Or get dissed 'cause I just don't get
What the fuck half the shit is that you're listenin' to
Do you have any idea how much I hate this choppy flow
Everyone copies though? Prob'ly no
Get this fuckin' audio out my Audi, yo, adiós
I can see why people like Lil Yachty, but not me though
Not even dissin', it just ain't for me
All I am simply is just an emcee
Maybe ""Stan"" just isn't your cup of tea (Get it?)
Maybe your cup's full of syrup and lean
Maybe I need to stir up shit, preferably
Shake the world up if it were up to me
Paul wants me to chill, y'all want me to ill
I should eat a pill, probably I will
Old me killed the new me, watch him bleed to death
I breathe on the mirror, I don't see my breath
Possibly I'm dead, I must be possessed
Like an evil spell, I'm E-V-I-L (""Evil"" spelled)
Jam a Crest Whitestrip in the tip of my dick
With an ice pick, stick it in a vise grip
Hang it on a spike fence, bang it with a pipe wrench
While I take my ball sack and flick it like a light switch
Like Vice President Mike Pence
Back up on my shit in a sidekick as I lay it on a spike strip
These are things that I'd rather do than hear you on a mic
Since nine tenths of your rhyme is about ice and
Jesus Christ, man, how many times is
Someone gonna fuck on my bitch? (Fuck my side chick!)
You won't ever see Em icy
But as cold as I get on the M-I-C
I polarize shit, so the Thames might freeze
And your skull might split like I bashed you upside it
Bitch, I got the club on smash like a nightstick (Yeah)
Turn down for what?
I ain't loud enough, nah, turn the Valium up (
Illa, Illa, Illa
)
'Cause I don't know how I'm gonna get your mouths to shut
Now when it doesn't matter what caliber
I spit at, I'll bet a hundred thousand bucks
You'll turn around and just be like, ""Man, how the fuck
Sourpuss gonna get mad just 'cause his album sucks?
And now he wants to take it out on us"" (Ooouuu)
But last week, an ex-fan mailed me a copy
Of 
The Mathers LP
 to tell me to study
It'll help me get back to myself and she'll love me
 
(Ooouuu)
I mailed the bitch back and said if I did that
I'd just be like everyone else in the fucking industry
Especially an effing 
Recovery
 clone of me (NFing)
So finger-bang, chicken wang, MGK, Igg' Azae'
Lil Pump, Lil Xan imitate Lil Wayne
I should aim at everybody in the game, pick a name
I'm fed up with bein' humble
And rumor is I'm hungry, I'm sure you heard rumblings
I heard you wanna rumble like an empty stomach
I heard your mumblin' but it's jumbled in mumbo-jumbo
The era that I'm from will pummel you, that's what it's comin' to
What the fuck you're gonna do when you run into it?
I'm gonna crumble you and I'll take a number two
And dump on you, if you ain't Joyner
If you ain't Kendrick or Cole or Sean, then you're a goner
I'm 'bout to bring it to anyone in this bitch who want it
I guess when you walk into BK you expect a Whopper
You can order a Quarter Pounder when you go to McDonald's
But if you're lookin' to get a porterhouse you better go get 
Revival
But y'all are actin' like I tried to serve you up a slider
Maybe the vocals shoulda been auto-tuned
And you woulda bought it
But sayin' I no longer got it
'Cause you missed a line and never caught it
'Cause it went over your head, because you're too stupid to get it
'Cause you're mentally retarded, but pretend to be the smartest
With your expertise and knowledge, but you'll never be an artist
And I'm harder on myself than you could ever be regardless
What I'll never be is flawless, all I'll ever be is honest (
Illa, Illa, Illa
)
Even when I'm gone they're gonna say I brought it
Even when I hit my forties like a fuckin' alcoholic
With a bottle full of malt liquor
But I couldn't bottle this shit any longer
The fact that I know that I'ma hit my bottom
If I don't pull myself from the jaws of defeat and rise to my feet
I don't see why y'all even started with me
I get in beefs, my enemies die
I don't cease fire 'til at least all are deceased
I'm east side, never be caught slippin'
Now you see why I don't sleep, not even a wink, I don't blink
I don't doze off, I don't even nod to the beats
I don't even close my fuckin' eyes when I sneeze
""Aw, man! That BET cypher was weak, it was garbage
The Thing ain't even orange—oh my God, that's a reach!""
Shout to all my colorblind people
Each and everyone of y'all, if you call a fire engine green
Aquamarine, or you think water is pink
""Dawg, that's a date"" — ""Looks like an olive to me""
""Look, there's an apple!"" — ""No, it's not, it's a peach!""
So finger-bang, Pootie Tang
Burger King, Gucci Gang, dookie, dang
Charlamagne gonna hate anyway, doesn't matter what I say
Give me Donkey of the Day
What a way for 2018 to get underway
But I'm gonna say everything that I wanna say
Welcome to the slaughterhouse, bitch! (Yeah)
Invite 'em in like a One A Day
I'm not done (Preach!)
'Cause I feel like the beast of burden
That line in the sand, was it even worth it?
'Cause the way I see people turning's
Makin' it seem worthless, it's startin' to defeat the purpose
I'm watchin' my fan base shrink to thirds
And I was just tryin' to do the right thing, but word
Has the court of public opinion reached a verdict
Or still yet to be determined?
'Cause I'm determined to be me, critiqued or worshipped
But if I could go back, I'd at least reword it
And say I empathize with the people this evil serpent
Sold the dream to that he's deserted
But I think it's workin'
These verses are makin' him a wee bit nervous
And he's too scurred to answer me with words
'Cause he knows that he will lyrically get murdered
But I know at least he's heard it
'Cause Agent Orange just sent the Secret Service
To meet in person to see if I really think of hurtin' him
Or ask if I'm linked to terrorists
I said, ""Only when it comes to ink and lyricists""
But my beef is more media journalists
(Hold up, hold up, hold up)
I said, my beef is more meaty, a journalist
Can get a mouthful of flesh
And yes, I mean eating a penis
'Cause they've been pannin' my album to death
So I've been givin' the media fingers
Don't wanna turn this to a counseling sesh
But they've been puttin' me through the ringer
So I ain't ironin' shit out with the press
But I just took this beat to the cleaners"
506,The Scientist,Coldplay,"Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you, tell you I need you
And tell you I set you apart
Tell me your secrets and ask me your questions
No, let's go back to the start
Runnin' in circles, comin' up tails
Heads on a science apart
Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start
I was just guessin' at numbers and figures
Pullin' the puzzles apart
Questions of science, science and progress
Do not speak as loud as my heart
And tell me you love me,
 
come back and haunt me
Oh, and I rush to the start
Runnin' in circles, chasin' our tails
Comin' back as we are
Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm goin' back to the start
Oh-ooh ooh-ooh-ooh-ooh
Ah-ooh ooh-ooh-ooh-ooh
Oh-ooh ooh-ooh-ooh-ooh
Oh-ooh ooh-ooh-ooh-ooh"
507,The The Empty,Le Tigre,"The stars are getting in and out of automobiles
And we keep wondering when we're gonna feel something real
Keep waiting for a Santa that'll never come
A real party, not just people who're faking fun
But everything gets erased before it's even said
And all that glitters isn't gold when inside, it's dead
All that glitters is not gold
All that glitters is not gold
All that glitters is not gold
All that glitters is not gold
I went to yr concert and I didn't feel anything
 (Is not gold)
I went to yr concert and I didn't hear anything
 (Is not gold)
I went to yr concert and I didn't feel anything
 (Is not gold)
I went to yr concert and I didn't see anything
 (Is not gold)
(Oh! Baby!) Why won't you talk to me?
(Oh! Baby!) You must want me empty!
(Oh! Baby!) You don't say anything!
(Oh! Baby!) Why won't you answer me?
All that glitters is not gold
 (Answer me!)
All that glitters is not gold
 (Answer me!)
All that glitters is not gold
 (Answer me!)
All that glitters is not gold
 (Answer me!)
I sat through yr movie but I didn't see anything
 
(All that glitters is not gold)
I went to yr comedy club and didn't laugh at all
 
(All that glitters is not gold)
I went to yr movie and I didn't hear anything
 
(All that glitters is not gold)
I went to yr concert and there was nothing going on
 
(All that glitters is not gold)
(Oh! Baby!) Why won't you talk to me?
(Oh! Baby!) You don't say anything!
(Oh! Baby!) Why won't you talk to me?
(Oh, baby?) You don't say anything!
All that glitters is not gold
 (Anything!)
All that glitters is not gold
 (No!)
All that glitters is not gold
 ([?] didn't say anything!)
All that glitters is not gold
 ([?] didn't say anything!)"
